printing,0
quest,0
architect,1
deal,0
crossing,0
mayor,1
food,0
removal,0
client,1
delegate,1
execution,0
warrant,0
winner,1
portrait,0
momentum,0
human,1
funeral,0
physician,1
intention,0
galaxy,0
mate,1
frog,1
rope,0
pilot,1
dividend,0
master,1
calendar,0
pipe,0
intensity,0
roll,0
customer,1
limestone,0
king,1
bite,0
sculpture,0
assessment,0
owner,1
man,1
veteran,1
ski,0
domain,1
newspaper,0
sleeve,0
marriage,0
chairman,1
candidate,1
carrier,1
refusal,0
design,0
associate,1
retailer,1
bread,0
glass,0
merchant,1
proprietor,1
thief,1
immigration,0
can,0
scale,0
edition,0
produce,0
cat,1
therapist,1
staff,1
witness,1
storm,0
feed,0
secretary,1
brick,1
liberty,0
girlfriend,1
solicitor,1
researcher,1
breakdown,0
investor,1
bankruptcy,0
tube,0
opportunity,0
legislation,0
socialist,1
fridge,0
explosion,0
guidance,0
tactic,0
hemisphere,0
flash,0
composer,1
incident,0
photographer,1
salon,0
view,0
newcomer,1
cinema,0
acre,0
priest,1
pond,0
county,0
stranger,1
sergeant,1
label,0
colonel,1
insistence,0
mood,0
applicant,1
triumph,0
employer,1
habit,0
defender,1
graduate,1
lender,1
goalkeeper,1
denial,0
panic,0
enthusiast,1
monkey,1
width,0
copyright,0
slave,1
visitor,1
floor,0
length,0
burn,0
middle,0
trustee,1
arrangement,0
ant,1
motorist,1
effectiveness,0
culture,0
chase,0
founder,1
sheep,1
bride,1
gift,0
way,0
mother,1
professional,1
dining,0
cancer,0
uncle,1
bee,1
virgin,1
compliance,0
grandfather,1
editor,1
textile,0
brow,0
creature,1
shareholder,1
pigeon,1
consortium,0
poetry,0
cow,1
learner,1
foreigner,1
word,0
prisoner,1
jockey,1
crash,0
unionist,1
attack,0
fluctuation,0
reply,0
performer,1
bomb,0
hospital,0
prince,1
waiter,1
leader,1
breach,0
lifespan,0
insect,1
walker,1
kid,1
steward,1
monk,1
agriculture,0
experiment,0
cliff,0
cassette,0
activist,1
case,0
warehouse,0
recommendation,0
respondent,1
receptor,0
defendant,1
atmosphere,0
governor,1
commissioner,1
court,0
rat,1
lawyer,1
practitioner,1
ruin,0
glory,0
monarch,1
precaution,0
bowel,0
curiosity,0
left,0
buyer,1
cap,0
fiction,0
replacement,0
teacher,1
variety,0
land,0
delay,0
gun,0
balance,0
son,1
pop,0
contractor,1
right,0
tea,0
emperor,1
planning,0
bucket,0
exercise,0
dancer,1
moon,0
freight,0
manager,1
library,0
duck,1
cook,1
plaintiff,1
