lemma,animacy
year,0
way,0
child,1
company,0
problem,0
country,0
world,0
week,0
woman,1
system,0
money,0
fact,0
area,0
student,1
idea,0
car,0
person,1
city,0
night,0
product,0
office,0
language,0
development,0
town,0
minute,0
food,0
period,0
history,0
moment,0
sale,0
policy,0
individual,1
human,1
computer,0
situation,0
activity,0
morning,0
event,0
decision,0
girl,1
action,0
customer,1
door,0
teacher,1
relationship,0
death,0
boy,1
quality,0
opportunity,0
road,0
industry,0
education,0
security,0
data,0
performance,0
society,0
technology,0
material,0
effort,0
attention,0
animal,1
century,1
street,0
wife,1
response,0
president,1
employee,1
art,0
manager,0
worker[working]
necessary
region
growth
evening
son
medium
management
character
final
economy
yesterday
