lemma,animacy
it,0
year,0
way,0
day,1
thing,0
child,0
company,0
problem,0
lot,0
country,0
world,0
week,0
woman,0
family,0
system,0
money,0
fact,0
area,0
friend,0
month,1
business,0
government,1
yes,0
example,0
hour,1
student,0
idea,0
car,1
person,0
member,0
city,0
night,1
public,0
product,1
office,0
language,0
development,0
town,0
minute,1
food,0
future,0
period,0
history,0
moment,0
sale,0
policy,0
law,0
human,0
computer,0
situation,1
activity,0
morning,0
event,0
decision,0
girl,0
community,0
role,0
action,0
customer,0
door,0
teacher,0
relationship,0
death,0
boy,0
quality,0
opportunity,1
road,1
industry,0
education,0
security,0
standard,0
percent,0
data,0
performance,0
society,1
technology,0
material,0
effort,0
attention,0
animal,0
patient,1
century,1
leader,0
street,0
wife,0
response,0
president,0
employee,0
official,0
art,0
manager,0
worker,0
region,0
growth,0
evening,0
son,0
medium,0
management,0
character,0
economy,1
yesterday,0
addition,0
population,0
environment,0
production,0
player,1
success,1
tomorrow,0
director,0
department,0
tree,1
college,0
item,0
cent,0
method,0
analysis,0
election,0
hotel,0
movie,0
discussion,0
nation,0
statement,0
mile,0
ability,0
unit,0
hospital,0
agreement,0
solution,0
capital,1
television,1
degree,0
movement,1
loss,0
treatment,0
yourself,0
village,0
brother,0
investment,0
energy,0
relation,0
strategy,0
operation,1
goal,0
option,0
competition,0
theory,1
argument,0
adult,0
application,0
speech,0
science,0
male,0
restaurant,0
income,0
property,0
daughter,0
newspaper,0
conclusion,0
memory,0
song,0
afternoon,0
possibility,0
direction,0
facility,0
variety,0
female,1
responsibility,0
sister,0
university,0
agency,0
dollar,1
proposal,0
conversation,0
magazine,0
sea,1
communication,0
agent,0
generation,0
difficulty,0
majority,0
scene,0
writer,1
element,0
committee,1
advice,0
administration,0
text,0
context,0
equipment,0
executive,0
sex,0
primary,0
collection,0
relative,0
alternative,0
attitude,0
truth,0
nobody,0
user,0
dinner,0
percentage,1
peace,0
crime,1
decade,0
consumer,0
institution,0
reader,0
sector,0
chief,0
expert,0
library,0
audience,1
procedure,0
extent,1
river,0
reality,0
artist,1
presence,0
category,1
secretary,1
